M�S;UNIDADE;ADMINISTRACAO REGIONAL;ALVARA;DESCRICAO;TIPO DA CONSTRUCAO;SQL/INCRA;CATEGORIA DE USO;ZONA DE USO;BAIRRO;AREA DA CONSTRUCAO;;PROPRIETARIO;AREA DO TERRENO;;ENDERECO;APROVACAO;FIRMA/DIRIGENTE TECNICO;RESPONSAVEL TECNICO;AUTOR PROJETO;RESPONSAVEL DA FIRMA;NUMERO DE BLOCOS;NUMERO DE UNIDADES;NUMERO DE PAVIMENTOS
Janeiro;APROV 1;SANTANA;2010.01.588-00;ALVARA DE APROVACAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.067.161.0008-3;R2V-01;Z3-013;TUCURUVI;13542.41;M2;INCORPORADORA E CONSTRUTORA TERRAL ATLANTICA SP LTDA;2400.00;M2;R CAPRICHO;19/01/10;ALEXANDRE MENDONCA MILLEU;;ALEXANDRE MENDONCA MILLEU;;001 - 001;048 - 048;09 - 09
Janeiro;APROV 1;VILA MARIANA;2004.39.820-02;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.041.038.0022-4;R301;Z1-018;MOEMA;49814.70;M2;EMPREENDIMENTO IMOBILIARIO CANARIO S/A;6245.44;M2;R CANARIO,130;13/01/10;;;;;001 - 001;037 - 037;39 - 39
Janeiro;APROV 1;VILA MARIANA;2010.02.242-00;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.309.050.0418-0;R2V-01;;SAUDE;0.00;M2;KOBAYASHI HABITACIONAL E COMERCIAL LTDA.;0.00;M2;AV BOSQUE DA SAUDE,305;22/01/10;SADAO KAYANO;;KOBAYASHI HABITACIONAL E COMERCIAL LTDA;;;;
Janeiro;APROV 1;VILA MARIANA;2010.02.692-00;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.038.053.0013-1;R2V-01;Z2;VILA MARIANA;0.00;M2;GAFISA SPE 88 EMPREENDIMENTOS IMOBILIARIOS LTDA.;0.00;M2;R PAULA NEY,215;28/01/10;SIDNEY OSTROWSKI;;MCAA ARQUITETOS LTDA;;;;
Janeiro;APROV 2;LAPA;2008.00.181-02;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;;00.197.022.0010-4;NR1-04;;BARRA FUNDA;52.07;M2;URBISKO COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;3109.00;M2;R INHAUMA,129;09/01/10;DENIS DE JESUS NUNES CARVALHO;;ARGOS ROGERIO SELEME;;;;
Janeiro;APROV 2;LAPA;2010.02.596-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;;00.022.033.0003-5;NR1-04;;PERDIZES;11724.28;M2;CONSTRUTORA PAULO MAURO LTDA E OUTROS;2401.76;M2;R PDE CHICO,241;27/01/10;PAULO MAURO;;ISRAEL REWIN;;001;;08
Janeiro;APROV 2;PINHEIROS / ITAIM BIBI;2008.55.235-02;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;;00.083.212.0115-6;NR1-04;;PINHEIROS;12031.98;M2;LEGACY EMPREENDIMENTOS IMOBILIARIOS LTDA.;1561.70;M2;R PAIS LEME,136;23/01/10;;;;;001;136;19
Janeiro;APROV 2;PINHEIROS / ITAIM BIBI;2010.01.290-00;AUTO DE REGULARIZACAO;;00.085.641.0052-5;NR3-04;;BROOKLIN;16739.18;M2;CONDOMINIO EDIFICIO PAULISTA DE SEGUROS III;3608.02;M2;R GERALDO FLAUSINO GOMES,78;15/01/10;;;;;;;
Janeiro;APROV 2;PINHEIROS / ITAIM BIBI;2010.01.703-00;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;;00.013.001.0128-8;NR3-04;;JARDIM PAULISTA;0.00;M2;LIBRA EVEN EMPRENDIMENTOS IMOBILIARIOS LTDA;0.00;M2;R OSCAR FREIRE,2250;19/01/10;EDUARDO ARTIMONTE ROCCA;;JONAS BIRGER;;;;
Janeiro;APROV 2;PINHEIROS / ITAIM BIBI;2010.02.666-00;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;;00.083.212.0115-6;NR1-04;;PINHEIROS;0.00;M2;LEGACY EMPREENDIMENTOS IMOBILIARIOS LTDA.;0.00;M2;R PAIS LEME,136;28/01/10;AMAURI APARECIDO DA ROCHA;;ITAMAR BERESIN-ARQUITETURA E URBANISMO LTDA;;;;
Janeiro;APROV 2;SANTO AMARO;2009.50.292-01;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;;00.087.460.0001-1;NR1-04;;JD. PROMISSAO;10460.79;M2;COMPANHIA DE EMPREENDIMENTOS SAO PAULO;5671.02;M2;AV DASNACOES UNIDAS;06/01/10;;;;;001;;03
Janeiro;APROV 2;SANTO AMARO;2010.00.980-00;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;;00.085.553.0048-7;NR3-05;;SANTO AMARO;0.00;M2;GARICEMA EMPREENDIMENTOS IMOBILIARIOS LTDA;0.00;M2;AV DR CHUCRI ZAIDAN;13/01/10;MARCELO ERNESTO ZARZUR;;ITAMAR BERESIN-ARQUITETURA E URBANISMO LTDA;;;;
Janeiro;APROV 2;SE;2010.00.592-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;;00.007.068.0159-8;NR2-02   - NR1-04;;REPUBLICA;1748.39;M2;TMC TELE-INFORMATICA LTDA;616.00;M2;R MARQ DE ITU,273;08/01/10;PRISCILA SANSONE NOGUEIRA;;PRISCILA SANSONE NOGUEIRA;;001;;04
Janeiro;APROV 2;SANTANA;2003.16.707-04;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.072.228.0303-3;R202;Z3-044;SANTANA;15161.95;M2;AREJO EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;2233.62;M2;R DR JOAO BATISTA SOARES FARIA,89;15/01/10;;;MCAA ARQUITETOS LTDA;;001;080;21
Janeiro;APROV 2;SANTANA;2010.00.248-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;;00.070.161.0023-5;NR1-04;;SANTANA;2689.00;M2;JULIETA DAS NEVES TORRES MARTINS;774.16;M2;R VOLUNTARIOS DA PATRIA,3998;06/01/10;ANTONIO HENRIQUE LICO GONCALVES;;ANTONIO HENRIQUE LICO GONCALVES;;001;;07
Janeiro;APROV 3;CASA VERDE;2010.00.982-00;AUTO DE REGULARIZACAO;PREDIO INDUSTRIAL;00.074.386.0008-4;IND-1B;Z6-059;LIMAO;3594.22;M2;IPK EMPREENDIMENTOS IMOBILIARIOS LTDA;2774.00;M2;R JACOFER,479;13/01/10;;;WEDER BERTI;;;;
Janeiro;APROV 3;LAPA;2010.02.644-00;CERTIFICADO DE CONCLUSAO;PREDIO INDUSTRIAL;00.079.396.0089-3;IND-2;Z6-014;JAGUARE;0.00;M2;CALAARI PARTIC. LTDA E DSM PRODS. NUTRICIONAIS DO BRASIL LTD;174011.64;M2;AV ENG BILLINGS,1653;28/01/10;OTAVIO PEREIRA DE MAGALHAES;;OTAVIO PEREIRA DE MAGALHAES;;;;
Janeiro;APROV 3;PIRITUBA / JARAGUA;2010.00.981-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;;00.124.146.0030-5;NR2-02;Z2;VILA JARAGUA;2499.58;M2;ENOC JOSE DE FREITAS E MARIA SOLANGE DE MORAIS FREITAS;4954.33;M2;ES TURISTICA DO JARAGUA,616;13/01/10;CRISTIANI CHANG;;RENE PALACIOS ROJAS;;001;;03
Janeiro;APROV 3;SE;2010.02.954-00;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;PREDIO INDUSTRIAL;00.020.001.0007-4;IND-1A;Z2;BARRA FUNDA;81.61;M2;GITA EMPREENDIMENTOS IMOBILIARIOS LTDA;1793.55;M2;R JAMES HOLLAND,655;23/01/10;JOAO PAULO FURTADO PEIXOTO;;JOAO PAULO FURTADO PEIXOTO;;001;;03
Janeiro;APROV 4;BUTANTA;2006.08.632-01;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;;00.171.103.0001-2;NR2-03;Z8-CR2 LIND. Z2;JARDIM TABOAO;1244.05;M2;PRODIGO FILMS LTDA;5224.20;M2;AV PROF FRANCISCO MORATO,5975;29/01/10;KELLY CHRISTINE GRIFFO MEDEIROS;;KELLY CHRISTINE GRIFFO MEDEIROS;;001 - 001 - 001 - 00;;02 - 01 - 01 - 03
Janeiro;APROV 4;BUTANTA;2010.01.982-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;;00.185.114.0023-1;NR2-03;Z2;JARDIM EDUCANDARIO.-;500.02;M2;AVB EMPREENDIMENTOS COMERCIAIS LTDA;955.86;M2;AV ENG HEITOR ANTONIO EIRAS GARCIA,4033;19/01/10;JOSE CARLOS ABIAD;;JOSE CARLOS ABIAD;;001;;02
Janeiro;APROV 4;CASA VERDE;2010.03.074-00;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;;00.306.070.0052-7;NR2-03   - NR1-02;Z2;PENHA;290.61;M2;OSVALDO DOS SANTOS;960.00;M2;R DOMINGOS TORRES,121;30/01/10;RONALDO DOS SANTOS;;RONALDO DOS SANTOS;;001;;02
Janeiro;APROV 4;LAPA;2010.01.102-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;;00.082.458.0006-6;NR2-02   - NR2-03;;JAGUARE;2104.54;M2;LINHARES EMPREENDIMENTOS IMOBILIARIOS LTDA;1381.45;M2;AV JAGUARE,575;14/01/10;ENIO FAVORETTO;;ENIO FAVORETTO;;001;;03
Janeiro;APROV 4;MOOCA;2010.00.167-00;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;;00.025.082.0102-2;NR2-02;Z4-020;BRAS;0.00;M2;MIOKO EMPREENDIMENTOS IMOBILIARIOS LTDA;4573.91;M2;R DA JUTA,181;06/01/10;CLEBER MARTINS COFFONE;;OSMAR ALVES;;001;;01
Janeiro;APROV 4;PINHEIROS / ITAIM BIBI;2010.02.575-00;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDI-FICACAO NOVA;;00.081.341.0397-9;NR2-03;Z8-CR2 LIND. Z13;SUMAREZINHO;624.06;M2;RAUL DINIZ E OUTROS;1815.26;M2;R HEITOR PENTEADO,1645;05/01/10;VICTOR MAURICIO CERRI GUIMARAES;;LAURA LUCIA ARAUJO DA SILVA RAMALHO;;001;;02
Janeiro;APROV 4;SE;2010.01.292-00;AUTO DE REGULARIZACAO;;00.006.012.0005-5;NR2-02;;CONSOLACAO;560.00;M2;ZINA SARTI FRACAROLLI;280.00;M2;PC FRANKLIN ROOSEVELT,274;15/01/10;;;;;;;
Janeiro;APROV 4;VILA MARIANA;2010.01.041-00;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDI-FICACAO NOVA;;00.036.136.0526-0;NR2-02;Z2;V. MARIANA;2069.49;M2;CLAUDIO BAIDA;1096.57;M2;R SENA MADUREIRA,1484;13/01/10;ARNALDO FERRARO PAVAN;;ARNALDO FERRARO PAVAN;;001;;02
Janeiro;APROV 5;PINHEIROS / ITAIM BIBI;2010.02.204-00;ALVARA DE EXECUCAO DE REFORMA;;00.096.092.0001-1;NR3-04;;PINHEIROS;0.00;M2;CONGREGACAO DE SANTA CRUZ;0.00;M2;R OROBO,383;22/01/10;DGK ENGENHARIA E SERVICOS LTDA;GUILHERME TAUNAY FERREIRA;DELLA E DADO PROJETOS LTDA;SANDRA CRISTINA DELLAROLE;;;
Janeiro;APROV 5;SE;2010.00.466-00;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;;00.033.015.1464-2;NR3-04;;LIBERDADE;741.57;M2;FUNDACAO EDUCACIONAL INACIANA PADRE SABOIA DE MEDEIROS;3755.90;M2;R TAMANDARE,662;08/01/10;JOSE CELSO SANTOS DINIZ;;JOSE CELSO SANTOS DINIZ;;002;;07
Janeiro;APROV 5;VILA MARIANA;2010.02.011-00;ALVARA DE EXECUCAO DE REFORMA;;00.039.137.0002-1;NR3-04;;VILA MARIANA;0.00;M2;HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DA USP;0.00;M2;R DIDEROT,43;20/01/10;VALENTIM JOSE MARTINS;;L.C. MIQUELIN & S.MEI LING ARQUITETURA S/C LTDA.;SUNG MEI LING;;;
Fevereiro;APROV G;ARICANDUVA / VILA FORMOSA;2010.03.998-00;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE RE- FORMA;PREDIO INDUSTRIAL;00.116.315.0046-4;IND-1B;Z3-149;VILA ANTONIETA;612.23;M2;ALAIDE MARIA DE LIMA GALINDO E OUTROS;1500.00;M2;R ENG GUILHERME CRISTIANO FRENDER,739;06/02/10;VALDIR MARTINS;;VALDIR MARTINS;;001;;02
Fevereiro;APROV G;BUTANTA;2010.04.339-00;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE RE- FORMA;;00.082.416.0056-9;NR1-04   - NR1-03;Z8-CR2 LIND. Z18;BUTANTA;0.00;M2;VALTER MACHADO LUZ;1350.00;M2;AV VITAL BRASIL,495;05/02/10;ELIEZER SANCHES SANTOS;;ELIEZER SANCHES SANTOS;;001;;03
Fevereiro;APROV G;CIDADE TIRADENTES;2009.50.146-01;APOSTILAMENTO DE CERTIFICADO DE CONCLUSAO;HAB. INTERESSE SOCIAL;00.245.105.0001-5;HIS;;STA ETELVINA I;0.00;M2;COHAB - CIA METROPOLITANA DE HABIT. DE SP.;0.00;M2;R PDE ALDEMAR MOREIRA;06/02/10;;;;;;;
