M�S;UNIDADE;ADMINISTRACAO REGIONAL;ALVARA;DESCRICAO;TIPO DA CONSTRUCAO;SQL/INCRA;CATEGORIA DE USO;ZONA DE USO;BAIRRO;AREA DA CONSTRUCAO;;PROPRIETARIO;AREA DO TERRENO;;ENDERECO;APROVACAO;FIRMA/DIRIGENTE TECNICO;RESPONSAVEL TECNICO;AUTOR PROJETO;RESPONSAVEL DA FIRMA;NUMERO DE BLOCOS;NUMERO DE UNIDADES;NUMERO DE PAVIMENTOS
Janeiro;APROV G;FREGUESIA DO O;2010.02.123-00;CERTIFICADO DE CONCLUSAO;HAB. INTERESSE SOCIAL;00.107.435.0535-1;H.I.S;Z2;FREGUESIA DO O;0.00;M2;COOPERATIVA HABITACIONAL CRUZEIRO DO SUL;36155.82;M2;AV MIN PETRONIO PORTELA,1901;21/01/10;;;;;;;
Janeiro;APROV G;GUAIANAZES;2009.47.136-01;APOSTILAMENTO DE CERTIFICADO DE CONCLUSAO;HAB. INTERESSE SOCIAL;00.193.002.0006-1;H.M.P;Z2;LAJEADO;0.00;M2;MVG ENGENHARIA E CONSTRUCAO LTDA;8539.01;M2;ES DOM JOAO NERY,254;21/01/10;;;;;;;
Janeiro;APROV G;GUAIANAZES;2010.02.655-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;HAB. INTERESSE SOCIAL;00.135.023.0004-5;HIS;;LAJEADO;10177.27;M2;CONSTRUTORA TENDA S/A;10209.00;M2;R S JOSE DE MOSSAMEDES,SNUM;23/01/10;ALEXANDRE DOS RAMOS CARVALHO;;PENTARCO ENGENHARIA E ARQUITETURA  LTDA;LUIZ AUGUSTO OLIVEIRA MARTINS;010 - 001;200;05 - 01
Janeiro;APROV 1;BUTANTA;2008.09.616-01;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAONOVA;PREDIO RESIDENCIAL;00.101.115.0025-6;R2V-01;Z2;BUTANTA;10491.18;M2;RRO BUTANTA EMPREENDIMENTO IMOBILIARIO SPE LTDA;1928.35;M2;R CORONEL CAMISAO,347;08/01/10;RENATO REITZFELD;;SERGIO REITZFELD;;001;090;18
Janeiro;APROV 1;BUTANTA;2010.00.146-00;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.123.151.0004-5;R2V-01;Z18-029;JARDIM LEONOR;0.00;M2;ANGRA DOS REIS EMPREENDIMENTOS IMOBILIARIOS LTDA;0.00;M2;AV PDE LEBRET;06/01/10;GEORGE ZAUSNER;;ITAMAR BERESIN-ARQUITETURA E URBANISMO LTDA;;;;
Janeiro;APROV 1;BUTANTA;2010.00.399-00;ALVARA DE APROVACAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.160.169.0083-3;R2V-01;Z2;RIO PEQUENO;14498.26;M2;BORGES FONSECA ENGENHARIA E COMERCIO LTDA;4857.86;M2;AV INACIO MANUEL ALVARES;07/01/10;BORGES FONSECA - ENGENHARIA E COMERCIO LTDA;RODRIGO DE FREITAS BORGES FONSECA;EDUARDO BANDEIRA DE MELLO LATERZA;;002 - 001;039 - 030;05 - 05
Janeiro;APROV 1;CAMPO LIMPO;2010.01.504-00;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.183.091.1573-2;R2V-01;Z2;CAPAO REDONDO;0.00;M2;ALTO BELO EMPREENDIMENTOS IMOBILIARIOS LTDA;0.00;M2;ES DE ITAPECERICA;16/01/10;ENGELUX CONSTRUTORA LTDA;MARIO LAMBERTI JUNIOR;DEMOSTHENES MAGNO SANTOS;;;;
Janeiro;APROV 1;IPIRANGA;2010.02.124-00;ALVARA DE APROVACAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.043.156.0031-8;R2V-01;Z4-061;IPIRANGA;14393.83;M2;CONSTRUTORA TARJAB LTDA;2000.00;M2;R JAIBA,225;21/01/10;CONSTRUTORA TARJAB LTDA;CARLOS ALBERTO DE MORAES BORGES;RUBIO & LUONGO ARQUITETURA LIMITADA;DEMOSTHENES MAGNO SANTOS;001;132;23
Janeiro;APROV 1;IPIRANGA;2010.02.130-00;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.046.035.0028-9;R2V-01;Z3-184;VILA GUMERCINDO;29069.81;M2;LORENA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;3525.26;M2;R PEDRALIA,275;09/01/10;SILVIO KOZUCHOWICZ;;MCAA ARQUITETOS LTDA;;001;108;29
Janeiro;APROV 1;ITAQUERA;2010.00.144-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.144.131.0024-6;R2H-03;Z2;PARQUE DO CARMO;1673.69;M2;ORTOCON SPE EMPREENDIMENTOS IMOBILIARIOS LTDA;1821.07;M2;R OVELHEIROS;06/01/10;FABIO LUIZ ELUF;;FABIO LUIZ ELUF;;020;001;02
Janeiro;APROV 1;ITAQUERA;2010.00.671-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.144.126.0037-7;R2H-03;Z2;ITAQUERA;541.36;M2;ENGETREVIS CONSTRUTORA E INCORPORADORA LTDA;625.00;M2;R BRIGIDA DE VASCONCELOS,62;09/01/10;LUIS ANTONIO FERNANDES;;LUIS ANTONIO FERNANDES;;001;009;02
Janeiro;APROV 1;ITAIM PAULISTA;2009.49.682-01;APOSTILAMENTO DE CERTIFICADO DE CONCLUSAO;HAB. INTERESSE SOCIAL;00.134.464.0315-8;H.M.P;Z2;ITAIM PAULISTA;0.00;M2;CAL EMPREENDIMENTOS E PARTICPACOES LTDA;7470.00;M2;R ANTONIO JOAO DE MEDEIROS,758;08/01/10;;;;;;;
Janeiro;APROV 1;ITAIM PAULISTA;2010.01.028-00;ALVARA DE APROVACAO DE EDIFICACAO NOVA;HAB. INTERESSE SOCIAL;00.112.664.0005-1;H.M.P;Z2;VILA CURUCA;3712.30;M2;JOSE FERNANDO MANTOVANI E OUTROS;2528.00;M2;R BENJAMIN CAPUSSO,259;08/01/10;JOSEF CZITROM;;RUBIO & LUONGO ARQUITETURA LIMITADA;DEMOSTHENES MAGNO SANTOS;002;036;09
Janeiro;APROV 1;JABAQUARA;2002.39.033-01;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAONOVA;PREDIO RESIDENCIAL;00.310.057.0011-4;R2H-03;Z2;JABAQUARA;1734.21;M2;CONDOMINIO INAJATUBA EMPREENDIMENTO IMOBILIARIO LTDA;980.00;M2;R INAJATUBA,8185;29/01/10;ROBERTO LETAIF;;RUBIO & LUONGO ARQUITETURA LIMITADA;;001 - 001 - 001;005 - 004 - 002;02 - 02 - 02
Janeiro;APROV 1;LAPA;2006.40.834-01;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAONOVA;PREDIO RESIDENCIAL;00.012.025.0018-8;R2H-03;Z2;PERDIZES;989.79;M2;ROBERTO CURY;1807.75;M2;PC DR PENTEADO MEDICI;13/01/10;MARCELO DE ABREU SAMPAIO HOLL CURY;;MARCELO DE ABREU SAMPAIO HOLL CURY;;004 - 001;001 - 001;02 - 03
Janeiro;APROV 1;LAPA;2009.50.143-01;APOSTILAMENTO DE AUTO DE REGULARIZACAO;PREDIO SERVICO;00.098.066.0518-7;S2.8     - C2.3;;LAPA;994.90;M2;GILBERTO MARTELOZZO E OUTRO;731.00;M2;R DOM JOAO V,266E;30/01/10;;;;;;;
Janeiro;APROV 1;LAPA;2010.01.587-00;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.097.003.0003-1;R2V-01;Z2;VILA LEOPOLDINA;0.00;M2;BROOKFIELD RIO DE JANEIRO EMPREENDIMENTOS IMOB S.A;0.00;M2;AV MOFARREJ;19/01/10;COMPANY S/A;JOSE CARLOS TEIXEIRA DA SILVA BRAGA;MCAA ARQUITETOS LTDA;;;;
Janeiro;APROV 1;VILA MARIA / VILA GUILHERME;2010.01.596-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.068.282.0035-7;R2V-01;Z3-021;VILA MEDEIROS;12139.94;M2;INCORPORADORA STIEFELMANN LTDA;1960.00;M2;AV GUSTAVO ADOLFO,2118;19/01/10;ROBERTO STIEFELMANN;;LILIANE STIEFELMANN BRODER;;001;137;25
Janeiro;APROV 1;MOOCA;2010.01.603-00;ALVARA DE APROVACAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.052.064.0037-8;R2V-01;Z2;AGUA RASA;14307.95;M2;ABACO EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;5714.21;M2;R FLORIANOPOLIS,951;19/01/10;PEDRO LUIS PLASCAK;;MAURO MARTINS DE OLIVEIRA;;001;162;29
Janeiro;APROV 1;MOOCA;2010.02.417-00;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.052.058.0066-6;R2V-01;Z2;AGUA RASA;0.00;M2;ACUCENA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;0.00;M2;PC XAVIER DA SILVEIRA,180;22/01/10;DIALOGO ENGENHARIA E CONSTRUCAO LTDA;EDGARD KARNICK NAHAS;HENRIQUE CAMBIAGHI FILHO;;;;
Janeiro;APROV 1;PENHA;2010.00.400-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.057.135.0039-1;R2H-03;Z2;VILA MATILDE;1308.71;M2;MANOEL MESSIAS TEIXEIRA;869.57;M2;R ANTONIO JUVENAL,368E;07/01/10;EVANDRO PACHECO JANUARIO;;EVANDRO PACHECO JANUARIO;;002;006;03
Janeiro;APROV 1;PENHA;2010.01.501-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.061.047.0030-6;R2H-03;Z2;PENHA;439.70;M2;APARECIDO DONIZETI RUECAS E OUTRO;472.50;M2;R RODOVALHO JUNIOR,64;16/01/10;ALEX WILLIAM TEIXEIRA;;ALEX WILLIAM TEIXEIRA;;001;006;02
Janeiro;APROV 1;PINHEIROS / ITAIM BIBI;2010.02.557-00;ALVARA DE APROVACAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.299.082.0007-9;R2V-01;Z3-234;ITAIM BIBI;12559.53;M2;GREEN DESENVOLVIMENTO IMOBILIARIO LTDA;1500.00;M2;R GOMES DE CARVALHO,850;27/01/10;FRAIHA INCORPORADORA LTDA;DEMETRIO FERES FRAIHA;ITAMAR BERESIN-ARQUITETURA E URBANISMO LTDA;;001;136;24
Janeiro;APROV 1;SANTO AMARO;2007.40.335-02;APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.090.196.0017-6;R2V-01;;CAMPO GRANDE;0.00;M2;MAC CONSTRUTORA LTDA;0.00;M2;R MANOEL FIGUEIREDO LANDIM,600;29/01/10;;;;;;;
Janeiro;APROV 1;SANTO AMARO;2009.46.717-01;APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.086.151.0024-1;R303;Z1-022;BROOKLIN PAULISTA;0.00;M2;CEDRO ROSA INCORPORACOES LTDA;0.00;M2;R JOAO ALVARES SOARES,16;13/01/10;;;;;;;
Janeiro;APROV 1;SANTO AMARO;2010.02.688-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.090.349.0061-4;R2H-03;Z2;CAMPO GRANDE;1454.54;M2;CJM INVESTIMENTOS E PARTICIPACOES SPE LTDA;900.00;M2;R TTE JOSE MARIA PINTO,142;28/01/10;SODRE ENGENHARIA S/C LTDA;LOURIVAL FARIAS SODRE;FLAVIO DOS SANTOS DE ABREU;;013;001;02
Janeiro;APROV 1;SANTO AMARO;2010.02.929-00;ALVARA DE APROVACAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.089.039.0028-6;R2V-01;Z2;CAMPO BELO;29066.73;M2;LIMOGES INCORPORADORA LTDA;4080.97;M2;AV JONIA,515;29/01/10;MARCELO ERNESTO ZARZUR;;ANDRE COMITRE JUNIOR;;001 - 001;088 - 088;23 - 23
Janeiro;APROV 1;SANTO AMARO;2010.02.980-00;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.086.314.0049-1;R2V-01;Z2;CAMPO BELO;0.00;M2;AGAMI EMPREENDIMENTO IMOBILIARIO LTDA;0.00;M2;R ESTEVAO BAIAO,785;30/01/10;CARMO AUGUSTO MEGALE GUARITA;;JONAS BIRGER;;;;
Janeiro;APROV 1;SE;2010.01.520-00;ALVARA DE APROVACAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.009.080.0007-3;R202;Z12-002;BELA VISTA;15466.73;M2;CONCIVIL CONSTRUTORA E INCORPORADORA LTDA.;1985.15;M2;R CINCINATO BRAGA,306;16/01/10;CONCIVIL CONSTRUTORA E INCORPORADORA LTDA;LUCIO SURIANI;ROBERTO CANDUSSO ARQUITETOS ASSOCIADOS LTDA;ROBERTO CANDUSSO;001;170;18
Janeiro;APROV 1;SAO MATEUS;2010.00.788-00;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;PREDIO RESIDENCIAL;00.149.064.0588-5;R2V-01;Z2;CID CENTENARIO;45.06;M2;COND QUARTIERE D'ITALIA III;3020.84;M2;R PAST AGENOR CALDEIRA DINIZ,1403;12/01/10;JULIANA BARBOSA GARBI;;JULIANA BARBOSA GARBI;;002;;15
